# Optical constants for Co created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 25 nm
# 40 nm Co thin film in a multilayer on Si (C/ Co/ Ru/ Si) (measured 4/2022)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
16.8	0.94059	0.1272	0.93922	0.94196	0.1255	0.1289
16.9	0.94136	0.1287	0.9399	0.94283	0.12727	0.13013
17.0	0.94235	0.12995	0.94092	0.94378	0.12842	0.13147
17.1	0.94315	0.13132	0.94247	0.94373	0.13079	0.13184
17.2	0.94397	0.13258	0.9433	0.94473	0.13207	0.13312
17.3	0.94472	0.13368	0.94402	0.94547	0.13319	0.13418
17.4	0.94566	0.13478	0.94491	0.94641	0.13427	0.13526
17.5	0.9463	0.13577	0.94553	0.94713	0.13527	0.13626
17.6	0.94688	0.13668	0.9461	0.94764	0.13618	0.13714
17.7	0.94763	0.13763	0.94689	0.94847	0.13714	0.13812
17.8	0.9481	0.13854	0.94731	0.94885	0.13803	0.13902
17.9	0.94823	0.13959	0.94743	0.94905	0.13912	0.14007
18.0	0.94769	0.13993	0.94695	0.94848	0.13941	0.14045
18.04	0.94775	0.14038	0.94701	0.94859	0.13991	0.14088
18.08	0.94781	0.1409	0.94704	0.94854	0.14041	0.14141
18.12	0.94788	0.14137	0.94707	0.94861	0.14093	0.14191
18.16	0.948	0.14187	0.94726	0.94879	0.14139	0.14239
18.2	0.94799	0.1424	0.94721	0.94878	0.14191	0.14291
18.24	0.94791	0.14296	0.94709	0.9487	0.14246	0.14349
18.28	0.94809	0.1435	0.94728	0.94884	0.14302	0.14399
18.32	0.94804	0.14413	0.94717	0.9489	0.14363	0.14464
18.36	0.94823	0.14473	0.94741	0.94897	0.14428	0.1453
18.4	0.94824	0.14534	0.94741	0.94902	0.14488	0.14585
18.44	0.94823	0.14603	0.94744	0.94906	0.14554	0.14654
18.48	0.9483	0.14672	0.94751	0.94917	0.14623	0.14724
18.52	0.94845	0.14738	0.94768	0.94926	0.1469	0.14788
18.56	0.94848	0.14808	0.94763	0.94935	0.1476	0.14859
18.6	0.94847	0.14889	0.94761	0.9493	0.14836	0.14941
18.64	0.94857	0.14963	0.94772	0.9494	0.14913	0.15011
18.68	0.94863	0.15043	0.94778	0.94945	0.14994	0.15093
18.72	0.94855	0.15134	0.94762	0.94942	0.15084	0.15189
18.76	0.94889	0.15217	0.94803	0.9498	0.15168	0.15271
18.8	0.94876	0.15313	0.94789	0.94967	0.1526	0.15366
18.84	0.94905	0.15408	0.94815	0.9499	0.15359	0.15464
18.88	0.94905	0.15515	0.94815	0.94986	0.15467	0.15566
18.92	0.94913	0.15627	0.94826	0.95002	0.15575	0.1568
18.96	0.94945	0.15744	0.94856	0.95049	0.15696	0.15798
19.0	0.94976	0.15858	0.9489	0.95072	0.15805	0.15909
19.04	0.95018	0.15985	0.94926	0.95113	0.15933	0.16036
19.08	0.95067	0.16111	0.94974	0.9516	0.16055	0.16161
19.12	0.95114	0.16249	0.95023	0.95206	0.16199	0.16301
19.16	0.95181	0.16388	0.95082	0.95272	0.16338	0.16438
19.2	0.95238	0.16538	0.95137	0.95336	0.16483	0.16587
19.24	0.95334	0.16664	0.9524	0.95423	0.16613	0.16717
19.28	0.95432	0.16818	0.95332	0.95532	0.16766	0.16874
19.32	0.9555	0.16954	0.95459	0.95653	0.16903	0.17008
19.36	0.95647	0.171	0.95552	0.95743	0.17051	0.1715
19.4	0.95787	0.17241	0.95686	0.95891	0.1719	0.17297
