# Optical constants for amorphous SiO2 created by PTB
# Reconstructed from reflection measurements in the wavelength range 5.0 - 24.5 nm
# 50 nm amorphous SiO2 thin film on Si  (measured 2024)
# n = (1-delta) - (i*beta)
# Citation: Q. Saadeh, V. Philipsen, J. Meersschaut, V. S. K. Channam, K.-A. Kantre, A. Sokolov, B. Kupper, T. Wiesner, D. O. García, Z. Salami, C. Buchholz, F. Scholze, and V. Soltwisch, "Optical constants of TiN, amorphous SiO2, and SiN in the extreme ultraviolet range," Appl. Opt. 63(36), 9210-9222 (2024).
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
10.57	0.98495	0.01071	0.98508	0.98482	0.01048	0.01093
10.58	0.9849	0.01083	0.98503	0.98477	0.0106	0.01105
10.59	0.98485	0.01095	0.98499	0.98472	0.01071	0.01118
10.6	0.98482	0.01107	0.98495	0.98468	0.01083	0.01131
10.61	0.98478	0.01118	0.98492	0.98465	0.01095	0.01143
10.62	0.98476	0.0113	0.98489	0.98462	0.01107	0.01155
10.63	0.98474	0.01142	0.98488	0.98459	0.01118	0.01167
10.64	0.98473	0.01154	0.98487	0.98459	0.01129	0.01179
10.65	0.98473	0.01167	0.98488	0.98458	0.01141	0.01192
10.66	0.98474	0.01179	0.98488	0.98459	0.01154	0.01204
10.67	0.98475	0.01192	0.98491	0.98461	0.01167	0.01219
10.68	0.98478	0.01204	0.98493	0.98463	0.01178	0.01231
10.69	0.98481	0.01217	0.98497	0.98466	0.01189	0.01246
10.7	0.98486	0.01229	0.98502	0.9847	0.01203	0.01255
10.71	0.98492	0.0124	0.98508	0.98476	0.01215	0.01268
10.72	0.98499	0.01252	0.98515	0.98483	0.01226	0.0128
10.73	0.98507	0.01263	0.98524	0.9849	0.01237	0.01291
10.74	0.98516	0.01273	0.98532	0.985	0.01246	0.013
10.75	0.98526	0.01281	0.98543	0.98509	0.01254	0.01308
10.76	0.98536	0.01288	0.98553	0.98519	0.01261	0.01316
10.77	0.98548	0.01293	0.98566	0.98531	0.01266	0.01321
10.78	0.9856	0.01296	0.98578	0.98542	0.0127	0.01324
10.79	0.98572	0.01297	0.9859	0.98554	0.0127	0.01325
10.8	0.98584	0.01297	0.98602	0.98567	0.01269	0.01325
10.81	0.98596	0.01294	0.98614	0.98578	0.01267	0.01321
10.82	0.98607	0.01288	0.98625	0.9859	0.01261	0.01316
10.83	0.98618	0.01281	0.98637	0.98601	0.01254	0.01309
10.84	0.98627	0.01272	0.98644	0.98608	0.01244	0.013
10.85	0.98635	0.01261	0.98652	0.98617	0.01236	0.01287
10.86	0.98641	0.0125	0.98659	0.98624	0.01224	0.01277
10.87	0.98646	0.01237	0.98664	0.9863	0.0121	0.01263
10.88	0.9865	0.01224	0.98667	0.98633	0.01199	0.01253
10.89	0.98651	0.0121	0.98668	0.98635	0.01183	0.01237
10.9	0.98652	0.01197	0.98667	0.98635	0.01172	0.01222
10.91	0.9865	0.01184	0.98665	0.98634	0.0116	0.0121
10.92	0.98646	0.01171	0.98662	0.98631	0.01146	0.01197
10.93	0.98641	0.01159	0.98657	0.98626	0.01135	0.01184
10.94	0.98635	0.01148	0.9865	0.9862	0.01124	0.01171
10.95	0.98628	0.01138	0.98643	0.98614	0.01114	0.01163
10.96	0.9862	0.01129	0.98634	0.98606	0.01105	0.01153
10.97	0.98611	0.01121	0.98625	0.98596	0.01098	0.01145
10.98	0.98602	0.01115	0.98616	0.98588	0.01093	0.01139
10.99	0.98592	0.0111	0.98607	0.98578	0.01086	0.01134
11.0	0.98583	0.01107	0.98597	0.9857	0.01082	0.01132
11.01	0.98573	0.01104	0.98588	0.98559	0.01081	0.01127
11.02	0.98564	0.01102	0.98578	0.9855	0.0108	0.01126
11.03	0.98556	0.01101	0.9857	0.98542	0.01078	0.01125
11.04	0.98547	0.01101	0.98561	0.98534	0.01079	0.01126
11.05	0.9854	0.01101	0.98554	0.98525	0.01077	0.01125
11.06	0.98532	0.01101	0.98546	0.98518	0.01078	0.01124
11.07	0.98525	0.01101	0.98539	0.9851	0.01076	0.01124
11.08	0.98518	0.01101	0.98532	0.98504	0.01078	0.01126
11.09	0.98511	0.01101	0.98525	0.98497	0.01077	0.01125
11.1	0.98504	0.01101	0.98518	0.9849	0.01078	0.01126
11.11	0.98498	0.011	0.98512	0.98484	0.01076	0.01125
11.12	0.9849	0.01098	0.98504	0.98477	0.01074	0.01122
11.13	0.98483	0.01096	0.98497	0.98469	0.01072	0.0112
11.14	0.98475	0.01094	0.98488	0.98461	0.0107	0.01118
11.15	0.98467	0.01092	0.9848	0.98453	0.01069	0.01117
11.16	0.98457	0.01089	0.98471	0.98444	0.01065	0.01115
11.17	0.98445	0.01088	0.98458	0.98431	0.01066	0.01112
11.18	0.98433	0.01085	0.98446	0.9842	0.01061	0.01109
11.19	0.98421	0.01081	0.98433	0.98407	0.01058	0.01106
11.2	0.98407	0.01078	0.9842	0.98393	0.01057	0.01102
11.21	0.98391	0.01076	0.98404	0.98378	0.01052	0.011
11.22	0.98374	0.01073	0.98387	0.9836	0.01051	0.01099
11.23	0.98355	0.01071	0.98368	0.98342	0.01047	0.01097
11.24	0.98333	0.01071	0.98346	0.9832	0.01048	0.01095
11.25	0.9831	0.01073	0.98323	0.98296	0.0105	0.01097
11.26	0.98283	0.01076	0.98296	0.98269	0.01054	0.01101
11.27	0.98255	0.01084	0.98268	0.98242	0.0106	0.01106
11.28	0.98224	0.01093	0.98238	0.98211	0.01069	0.01117
11.29	0.98192	0.0111	0.98206	0.98179	0.01085	0.01135
11.3	0.98157	0.01131	0.98171	0.98142	0.01106	0.01157
11.31	0.98124	0.0116	0.9814	0.9811	0.01136	0.01187
